Date,Home Team,Score,Away Team
09-08-2025,Norwich,1 - 2,Millwall
01-01-2026,Ipswich,2 - 1,Oxford
29-12-2025,Oxford,0 - 1,Swansea
26-12-2025,Oxford,2 - 1,Southampton
20-12-2025,Charlton,1 - 0,Oxford
13-12-2025,Oxford,1 - 2,Preston
09-12-2025,Blackburn,1 - 1,Oxford
06-12-2025,Swansea,2 - 0,Oxford
28-11-2025,Oxford,2 - 1,Ipswich
25-11-2025,Norwich,1 - 1,Oxford
22-11-2025,Oxford,1 - 1,Middlesbrough
08-11-2025,West Brom,2 - 1,Oxford
04-11-2025,Oxford,0 - 3,Stoke
01-11-2025,Oxford,2 - 2,Millwall
25-10-2025,Sheffield Weds,1 - 2,Oxford
22-10-2025,Wrexham,1 - 0,Oxford
18-10-2025,Oxford,1 - 0,Derby
04-10-2025,Watford,2 - 1,Oxford
01-10-2025,QPR,0 - 0,Oxford
27-09-2025,Oxford,0 - 1,Sheffield United
21-09-2025,Bristol City,1 - 3,Oxford
13-09-2025,Oxford,2 - 2,Leicester
30-08-2025,Oxford,2 - 2,Coventry
23-08-2025,Birmingham,1 - 0,Oxford
17-08-2025,Hull,3 - 2,Oxford
09-08-2025,Oxford,0 - 1,Portsmouth
01-01-2026,Bristol City,5 - 0,Portsmouth
29-12-2025,Portsmouth,2 - 1,Charlton
26-12-2025,Portsmouth,1 - 1,QPR
20-12-2025,Derby,1 - 1,Portsmouth
13-12-2025,Portsmouth,2 - 1,Blackburn
09-12-2025,Swansea,1 - 0,Portsmouth
29-11-2025,Portsmouth,0 - 1,Bristol City
26-11-2025,Sheffield United,3 - 0,Portsmouth
22-11-2025,Portsmouth,3 - 1,Millwall
08-11-2025,Hull,3 - 2,Portsmouth
05-11-2025,Portsmouth,0 - 0,Wrexham
01-11-2025,Birmingham,4 - 0,Portsmouth
25-10-2025,Portsmouth,0 - 1,Stoke
21-10-2025,Portsmouth,1 - 2,Coventry
18-10-2025,Leicester,1 - 1,Portsmouth
04-10-2025,Portsmouth,1 - 0,Middlesbrough
01-10-2025,Portsmouth,2 - 2,Watford
27-09-2025,Ipswich,2 - 1,Portsmouth
20-09-2025,Portsmouth,0 - 2,Sheffield Weds
14-09-2025,Southampton,0 - 0,Portsmouth
30-08-2025,Portsmouth,1 - 0,Preston
23-08-2025,West Brom,1 - 1,Portsmouth
16-08-2025,Portsmouth,1 - 2,Norwich
09-08-2025,Oxford,0 - 1,Portsmouth
04-01-2026,Bristol City,0 - 2,Preston
01-01-2026,Preston,3 - 0,Sheffield Weds
29-12-2025,Wrexham,2 - 1,Preston
26-12-2025,Stoke,0 - 0,Preston
20-12-2025,Preston,1 - 1,Norwich
13-12-2025,Oxford,1 - 2,Preston
09-12-2025,Preston,1 - 1,Coventry
06-12-2025,Preston,1 - 1,Wrexham
29-11-2025,Sheffield Weds,2 - 3,Preston
25-11-2025,Watford,1 - 1,Preston
21-11-2025,Preston,1 - 2,Blackburn
08-11-2025,Millwall,1 - 1,Preston
05-11-2025,Preston,2 - 1,Swansea
01-11-2025,Southampton,0 - 2,Preston
24-10-2025,Preston,3 - 2,Sheffield United
21-10-2025,Preston,0 - 1,Birmingham
18-10-2025,West Brom,2 - 1,Preston
04-10-2025,Preston,2 - 0,Charlton
30-09-2025,Hull,2 - 2,Preston
27-09-2025,Preston,0 - 0,Bristol City
20-09-2025,Derby,0 - 1,Preston
13-09-2025,Preston,2 - 2,Middlesbrough
30-08-2025,Portsmouth,1 - 0,Preston
23-08-2025,Preston,1 - 0,Ipswich
16-08-2025,Preston,2 - 1,Leicester
09-08-2025,QPR,1 - 1,Preston
04-01-2026,QPR,3 - 0,Sheffield Weds
01-01-2026,QPR,1 - 2,Norwich
29-12-2025,West Brom,2 - 1,QPR
26-12-2025,Portsmouth,1 - 1,QPR
20-12-2025,QPR,4 - 1,Leicester
13-12-2025,Middlesbrough,3 - 1,QPR
09-12-2025,QPR,2 - 1,Birmingham
06-12-2025,QPR,3 - 1,West Brom
29-11-2025,Norwich,3 - 1,QPR
26-11-2025,Blackburn,0 - 1,QPR
22-11-2025,QPR,3 - 2,Hull
08-11-2025,Sheffield United,0 - 0,QPR
05-11-2025,QPR,1 - 2,Southampton
01-11-2025,QPR,1 - 4,Ipswich
25-10-2025,Derby,1 - 0,QPR
22-10-2025,Swansea,0 - 1,QPR
18-10-2025,QPR,1 - 2,Millwall
04-10-2025,Bristol City,1 - 2,QPR
01-10-2025,QPR,0 - 0,Oxford
27-09-2025,Sheffield Weds,1 - 1,QPR
20-09-2025,QPR,1 - 0,Stoke
13-09-2025,Wrexham,1 - 3,QPR
30-08-2025,QPR,3 - 1,Charlton
23-08-2025,Coventry,7 - 1,QPR
16-08-2025,Watford,2 - 1,QPR
09-08-2025,QPR,1 - 1,Preston
01-01-2026,Sheffield United,3 - 1,Leicester
29-12-2025,Stoke,1 - 2,Sheffield United
26-12-2025,Wrexham,5 - 3,Sheffield United
20-12-2025,Sheffield United,3 - 0,Birmingham
12-12-2025,West Brom,2 - 0,Sheffield United
09-12-2025,Sheffield United,1 - 1,Norwich
06-12-2025,Sheffield United,4 - 0,Stoke
29-11-2025,Leicester,2 - 3,Sheffield United
26-11-2025,Sheffield United,3 - 0,Portsmouth
23-11-2025,Sheffield Weds,0 - 3,Sheffield United
08-11-2025,Sheffield United,0 - 0,QPR
04-11-2025,Coventry,3 - 1,Sheffield United
01-11-2025,Sheffield United,1 - 3,Derby
24-10-2025,Preston,3 - 2,Sheffield United
21-10-2025,Blackburn,1 - 3,Sheffield United
18-10-2025,Sheffield United,1 - 0,Watford
04-10-2025,Hull,1 - 0,Sheffield United
30-09-2025,Sheffield United,1 - 2,Southampton
27-09-2025,Oxford,0 - 1,Sheffield United
20-09-2025,Sheffield United,0 - 1,Charlton
12-09-2025,Ipswich,5 - 0,Sheffield United
30-08-2025,Middlesbrough,1 - 0,Sheffield United
23-08-2025,Sheffield United,0 - 1,Millwall
16-08-2025,Swansea,1 - 0,Sheffield United
09-08-2025,Sheffield United,1 - 4,Bristol City
04-01-2026,QPR,3 - 0,Sheffield Weds
01-01-2026,Preston,3 - 0,Sheffield Weds
29-12-2025,Sheffield Weds,0 - 0,Blackburn
26-12-2025,Sheffield Weds,2 - 2,Hull
20-12-2025,Ipswich,3 - 1,Sheffield Weds
15-12-2025,Sheffield Weds,0 - 3,Derby
09-12-2025,Watford,1 - 1,Sheffield Weds
29-11-2025,Sheffield Weds,2 - 3,Preston
26-11-2025,Millwall,1 - 0,Sheffield Weds
23-11-2025,Sheffield Weds,0 - 3,Sheffield United
08-11-2025,Southampton,3 - 1,Sheffield Weds
05-11-2025,Sheffield Weds,1 - 1,Norwich
01-11-2025,West Brom,0 - 0,Sheffield Weds
25-10-2025,Sheffield Weds,1 - 2,Oxford
22-10-2025,Sheffield Weds,0 - 1,Middlesbrough
18-10-2025,Charlton,2 - 1,Sheffield Weds
04-10-2025,Sheffield Weds,0 - 5,Coventry
30-09-2025,Birmingham,2 - 2,Sheffield Weds
27-09-2025,Sheffield Weds,1 - 1,QPR
20-09-2025,Portsmouth,0 - 2,Sheffield Weds
13-09-2025,Sheffield Weds,0 - 3,Bristol City
30-08-2025,Sheffield Weds,0 - 2,Swansea
23-08-2025,Wrexham,2 - 2,Sheffield Weds
16-08-2025,Sheffield Weds,0 - 3,Stoke
10-08-2025,Leicester,2 - 1,Sheffield Weds
04-01-2026,Middlesbrough,4 - 0,Southampton
01-01-2026,Southampton,0 - 0,Millwall
29-12-2025,Birmingham,1 - 1,Southampton
26-12-2025,Oxford,2 - 1,Southampton
20-12-2025,Southampton,1 - 1,Coventry
13-12-2025,Norwich,2 - 1,Southampton
09-12-2025,Southampton,3 - 2,West Brom
06-12-2025,Southampton,3 - 1,Birmingham
29-11-2025,Millwall,3 - 2,Southampton
25-11-2025,Southampton,3 - 0,Leicester
22-11-2025,Charlton,1 - 5,Southampton
08-11-2025,Southampton,3 - 1,Sheffield Weds
05-11-2025,QPR,1 - 2,Southampton
01-11-2025,Southampton,0 - 2,Preston
25-10-2025,Blackburn,2 - 1,Southampton
21-10-2025,Bristol City,3 - 1,Southampton
18-10-2025,Southampton,0 - 0,Swansea
04-10-2025,Derby,1 - 1,Southampton
30-09-2025,Sheffield United,1 - 2,Southampton
27-09-2025,Southampton,1 - 1,Middlesbrough
20-09-2025,Hull,3 - 1,Southampton
14-09-2025,Southampton,0 - 0,Portsmouth
30-08-2025,Watford,2 - 2,Southampton
23-08-2025,Southampton,1 - 2,Stoke
17-08-2025,Ipswich,1 - 1,Southampton
09-08-2025,Southampton,2 - 1,Wrexham
04-01-2026,Norwich,0 - 2,Stoke
01-01-2026,Hull,0 - 1,Stoke
29-12-2025,Stoke,1 - 2,Sheffield United
26-12-2025,Stoke,0 - 0,Preston
20-12-2025,Watford,1 - 0,Stoke
13-12-2025,Stoke,2 - 1,Swansea
10-12-2025,Ipswich,1 - 0,Stoke
06-12-2025,Sheffield United,4 - 0,Stoke
29-11-2025,Stoke,1 - 2,Hull
25-11-2025,Stoke,3 - 0,Charlton
22-11-2025,Leicester,2 - 1,Stoke
08-11-2025,Stoke,0 - 1,Coventry
04-11-2025,Oxford,0 - 3,Stoke
01-11-2025,Stoke,5 - 1,Bristol City
25-10-2025,Portsmouth,0 - 1,Stoke
21-10-2025,Millwall,2 - 0,Stoke
18-10-2025,Stoke,1 - 0,Wrexham
04-10-2025,Blackburn,1 - 1,Stoke
30-09-2025,Middlesbrough,0 - 0,Stoke
27-09-2025,Stoke,1 - 1,Norwich
20-09-2025,QPR,1 - 0,Stoke
13-09-2025,Stoke,1 - 0,Birmingham
30-08-2025,Stoke,0 - 1,West Brom
23-08-2025,Southampton,1 - 2,Stoke
16-08-2025,Sheffield Weds,0 - 3,Stoke
09-08-2025,Stoke,3 - 1,Derby
04-01-2026,Millwall,2 - 1,Swansea
01-01-2026,Swansea,1 - 0,West Brom
29-12-2025,Oxford,0 - 1,Swansea
26-12-2025,Coventry,1 - 0,Swansea
19-12-2025,Swansea,2 - 1,Wrexham
13-12-2025,Stoke,2 - 1,Swansea
09-12-2025,Swansea,1 - 0,Portsmouth
06-12-2025,Swansea,2 - 0,Oxford
29-11-2025,West Brom,3 - 2,Swansea
25-11-2025,Swansea,1 - 2,Derby
22-11-2025,Bristol City,3 - 0,Swansea
08-11-2025,Swansea,1 - 4,Ipswich
05-11-2025,Preston,2 - 1,Swansea
01-11-2025,Charlton,1 - 1,Swansea
25-10-2025,Swansea,2 - 1,Norwich
22-10-2025,Swansea,0 - 1,QPR
18-10-2025,Southampton,0 - 0,Swansea
04-10-2025,Swansea,1 - 3,Leicester
30-09-2025,Blackburn,1 - 2,Swansea
27-09-2025,Swansea,1 - 1,Millwall
20-09-2025,Birmingham,1 - 0,Swansea
13-09-2025,Swansea,2 - 2,Hull
30-08-2025,Sheffield Weds,0 - 2,Swansea
23-08-2025,Swansea,1 - 1,Watford
16-08-2025,Swansea,1 - 0,Sheffield United
09-08-2025,Middlesbrough,1 - 0,Swansea
01-01-2026,Watford,3 - 0,Birmingham
29-12-2025,Norwich,0 - 1,Watford
26-12-2025,Leicester,1 - 2,Watford
20-12-2025,Watford,1 - 0,Stoke
13-12-2025,Wrexham,2 - 2,Watford
09-12-2025,Watford,1 - 1,Sheffield Weds
06-12-2025,Watford,3 - 2,Norwich
01-12-2025,Birmingham,2 - 1,Watford
25-11-2025,Watford,1 - 1,Preston
22-11-2025,Derby,2 - 3,Watford
07-11-2025,Watford,1 - 1,Bristol City
04-11-2025,Ipswich,1 - 1,Watford
01-11-2025,Watford,3 - 0,Middlesbrough
25-10-2025,Coventry,3 - 1,Watford
22-10-2025,Watford,2 - 1,West Brom
18-10-2025,Sheffield United,1 - 0,Watford
04-10-2025,Watford,2 - 1,Oxford
01-10-2025,Portsmouth,2 - 2,Watford
27-09-2025,Watford,2 - 1,Hull
22-09-2025,Millwall,1 - 0,Watford
13-09-2025,Watford,0 - 1,Blackburn
30-08-2025,Watford,2 - 2,Southampton
23-08-2025,Swansea,1 - 1,Watford
16-08-2025,Watford,2 - 1,QPR
09-08-2025,Charlton,1 - 0,Watford
05-01-2026,Leicester,2 - 1,West Brom
01-01-2026,Swansea,1 - 0,West Brom
29-12-2025,West Brom,2 - 1,QPR
26-12-2025,West Brom,1 - 2,Bristol City
20-12-2025,Hull,1 - 0,West Brom
12-12-2025,West Brom,2 - 0,Sheffield United
09-12-2025,Southampton,3 - 2,West Brom
06-12-2025,QPR,3 - 1,West Brom
29-11-2025,West Brom,3 - 2,Swansea
26-11-2025,West Brom,1 - 1,Birmingham
22-11-2025,Coventry,3 - 2,West Brom
08-11-2025,West Brom,2 - 1,Oxford
04-11-2025,Charlton,1 - 0,West Brom
01-11-2025,West Brom,0 - 0,Sheffield Weds
25-10-2025,Ipswich,1 - 0,West Brom
22-10-2025,Watford,2 - 1,West Brom
18-10-2025,West Brom,2 - 1,Preston
04-10-2025,Millwall,3 - 0,West Brom
01-10-2025,Norwich,0 - 1,West Brom
26-09-2025,West Brom,1 - 1,Leicester
19-09-2025,Middlesbrough,2 - 1,West Brom
13-09-2025,West Brom,0 - 1,Derby
30-08-2025,Stoke,0 - 1,West Brom
23-08-2025,West Brom,1 - 1,Portsmouth
16-08-2025,Wrexham,2 - 3,West Brom
09-08-2025,West Brom,1 - 0,Blackburn
04-01-2026,Derby,1 - 2,Wrexham
01-01-2026,Blackburn,0 - 2,Wrexham
29-12-2025,Wrexham,2 - 1,Preston
26-12-2025,Wrexham,5 - 3,Sheffield United
19-12-2025,Swansea,2 - 1,Wrexham
13-12-2025,Wrexham,2 - 2,Watford
10-12-2025,Hull,2 - 0,Wrexham
06-12-2025,Preston,1 - 1,Wrexham
29-11-2025,Wrexham,1 - 1,Blackburn
26-11-2025,Wrexham,2 - 0,Bristol City
22-11-2025,Ipswich,0 - 0,Wrexham
08-11-2025,Wrexham,1 - 0,Charlton
05-11-2025,Portsmouth,0 - 0,Wrexham
31-10-2025,Wrexham,3 - 2,Coventry
25-10-2025,Middlesbrough,1 - 1,Wrexham
22-10-2025,Wrexham,1 - 0,Oxford
18-10-2025,Stoke,1 - 0,Wrexham
03-10-2025,Wrexham,1 - 1,Birmingham
30-09-2025,Leicester,1 - 1,Wrexham
27-09-2025,Wrexham,1 - 1,Derby
20-09-2025,Norwich,2 - 3,Wrexham
13-09-2025,Wrexham,1 - 3,QPR
30-08-2025,Millwall,0 - 2,Wrexham
23-08-2025,Wrexham,2 - 2,Sheffield Weds
16-08-2025,Wrexham,2 - 3,West Brom
09-08-2025,Southampton,2 - 1,Wrexham
